"SourceFilename","SourceWidth","SourceHeight","DerivativePath","DerivativeWidth","DerivativeHeight","Group","PageUse","AltEnglish","AltFrench","ProcessingNotes"
"TDI_Bird_View.png","1916","821","locations-L2-assets/images/tdi-bird-view.webp","1916","821","TDI","Homepage card; L2 lead","Aerial view of The Drago Island and its turquoise Caribbean waters","Vue aÃ©rienne de Lâ€™ÃŽle Drago et de ses eaux turquoise des CaraÃ¯bes","Cinematic visualization; Dominica context only as TDI"
"TDI_Dessert_Buffet.JPG","1280","549","locations-L2-assets/images/tdi-dessert-buffet.webp","1280","549","TDI","L2 event gallery","An elegant dessert buffet during a gathering on The Drago Island","Un Ã©lÃ©gant buffet de desserts lors dâ€™un rassemblement sur Lâ€™ÃŽle Drago","Cinematic visualization; matte checked"
"TDI_Jet_View.png","1916","821","locations-L2-assets/images/tdi-jet-view.webp","1916","821","TDI","L2 arrival gallery","Private jet approaching The Drago Island over Caribbean waters","Jet privÃ© approchant Lâ€™ÃŽle Drago au-dessus des eaux caribÃ©ennes","Cinematic visualization"
"TDI_Pool_Crowd_1.JPG","1280","549","locations-L2-assets/images/tdi-pool-crowd-1.webp","1280","548","TDI","L2 event gallery","Guests gathering around the resort pool on The Drago Island","InvitÃ©s rassemblÃ©s autour de la piscine de Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TDI_Seafood_Buffet.JPG","1280","549","locations-L2-assets/images/tdi-seafood-buffet.webp","1280","548","TDI","L2 event gallery","A lavish seafood buffet on The Drago Island","Un somptueux buffet de fruits de mer sur Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TDI_Sunset_Happy_Hour.JPG","1280","549","locations-L2-assets/images/tdi-sunset-happy-hour.webp","1280","548","TDI","L2 event gallery","A sunset gathering overlooking the sea on The Drago Island","Un rassemblement au coucher du soleil face Ã  la mer sur Lâ€™ÃŽle Drago","Cinematic visualization; one-pixel bottom edge cropped; one-pixel black/technical edge removed"
"TGP_4_Desks_ Aquarium.png","1916","821","locations-L2-assets/images/tgp-4-desks-aquarium.webp","1916","821","TGP","L2 signature interior","The Grande Paolo command center with four desks and an aquarium","Centre de commandement de The Grande Paolo avec quatre bureaux et un aquarium","Cinematic visualization"
"TGP_Don_Office.png","1915","821","locations-L2-assets/images/tgp-don-office.webp","1915","821","TGP","L2 interior gallery","The Donâ€™s dark private office inside The Grande Paolo","Le bureau privÃ© sombre du Don dans The Grande Paolo","Cinematic visualization"
"TGP_Exterior.png","1448","621","locations-L2-assets/images/tgp-exterior.webp","1448","621","TGP","Homepage card; L2 lead","Circular exterior of The Grande Paolo at sunset","ExtÃ©rieur circulaire de The Grande Paolo au coucher du soleil","Cinematic visualization"
"TGP_Fireplace.png","1916","821","locations-L2-assets/images/tgp-fireplace.webp","1916","821","TGP","L2 signature interior","Monumental fireplace inside The Grande Paolo","CheminÃ©e monumentale Ã  lâ€™intÃ©rieur de The Grande Paolo","Cinematic visualization; slight dark edge checked and retained"
"TGP_Floor_Plan_Frosted.png","1024","1536","locations-L2-assets/images/tgp-floor-plan-frosted.webp","700","1050","Protected study","L2 selected production studies","Intentionally obscured preliminary The Grande Paolo set study","Ã‰tude prÃ©liminaire volontairement obscurcie du dÃ©cor de The Grande Paolo","Protected production study; reduced derivative only; reduced protected derivative; no lightbox or download link"
"TGP_Interior_Central_Place.png","1916","821","locations-L2-assets/images/tgp-interior-central-place.webp","1916","821","TGP","L2 interior gallery","The central hall and sculptural floor inside The Grande Paolo","Hall central et sol sculptural de The Grande Paolo","Cinematic visualization"
"TGP_Night_Sunset_Bird_View.png","1915","821","locations-L2-assets/images/tgp-night-sunset-bird-view.webp","1915","821","TGP","L2 estate relationship gallery","The Grande Paolo on the coast at twilight","The Grande Paolo sur la cÃ´te au crÃ©puscule","Cinematic visualization"
"TGP_War_Room_G5_Map.png","1916","821","locations-L2-assets/images/tgp-war-room-g5-map.webp","1916","821","TGP","L2 strategy interior","The Grande Paolo war room during a strategic briefing","Salle de crise de The Grande Paolo pendant une rÃ©union stratÃ©gique","Cinematic visualization"
"Trapani_Restaurant.JPG","1280","549","locations-L2-assets/images/trapani-restaurant.webp","1280","548","Territory","L2 Trapani story context","Guests dining on a coastal terrace near Trapani","InvitÃ©s dÃ®nant sur une terrasse cÃ´tiÃ¨re prÃ¨s de Trapani","Cinematic story context; figures are unnamed; one-pixel edge cropped; one-pixel black/technical edge removed"
"Trapani_Sicily.png","1916","821","locations-L2-assets/images/trapani-sicily.webp","1916","821","Territory","L2 Trapani and Sicily territory","Aerial view of Trapani harbor and the Sicilian coastline","Vue aÃ©rienne du port de Trapani et de la cÃ´te sicilienne","Geographic context"
